Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Bangladesh,Current account balance,U.S. dollars,Billions,-0.202,-0.468,-0.675,-0.531,-0.512,-0.685,-0.664,-0.538,-0.833,-1.217,-1.104,-0.646,-0.236,-0.129,-0.227,-0.616,-0.953,-0.831,-0.568,-0.35,-0.337,-1.018,0.157,0.176,0.176,-0.557,0.572,0.957,0.278,2.086,3.24,-2.227,-0.447,2.388,1.406,2.875,4.262,-1.331,-9.567,-4.49,-5.435,-4.575,-18.673,2022
Bangladesh,Current account balance,Percent of GDP,,-0.817,-1.777,-2.734,-2.223,-1.908,-2.375,-2.241,-1.657,-2.385,-3.196,-2.687,-1.519,-0.545,-0.295,-0.489,-1.189,-1.719,-1.443,-0.948,-0.569,-0.53,-1.574,0.237,0.245,0.226,-0.674,0.665,1.003,0.253,1.699,2.346,-1.445,-0.28,1.329,0.679,1.23,1.607,-0.453,-2.977,-1.278,-1.454,-1.099,-4.053,2022
Bhutan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"1,343.09","1,486.03","1,567.15","1,644.33","1,726.87","1,752.03","1,832.77","2,128.74","2,373.93","2,459.13","2,652.82","2,787.90","2,883.71","3,027.37","3,137.25","3,345.68","3,517.82","3,655.84","3,781.16","3,938.49","4,099.58","4,259.78","4,532.50","4,867.31","5,110.02","5,354.27","5,634.98","6,282.23","6,886.11","7,196.82","7,783.44","8,447.25","8,886.37","9,092.63","9,338.28","9,738.41","10,332.50","10,851.90","11,208.49","11,655.99","11,271.18","10,790.92","11,113.62",2021
Bhutan,Total investment,Percent of GDP,,29.746,37.078,38.825,37.991,34.645,43.441,38.679,28.353,36.773,31.338,33.215,31.393,43.435,41.145,50.316,43.816,43.92,40.016,36.727,40.166,47.423,61.27,61.997,60.668,62.427,58.826,50.439,38.016,37.36,45.511,55.727,66.485,69.418,56.417,49.219,53.416,56.454,54.578,49.801,42.582,35.515,34.514,38.638,2021
Bhutan,Gross national savings,Percent of GDP,,0,7.271,9.567,8.697,7.668,13.984,9.22,17.501,18.029,23.728,30.029,24.439,18.73,31.842,43.587,42.214,62.698,48.814,50.5,46.268,42.162,57.418,45.032,39.521,38.621,37.495,46.587,41.224,32.986,33.751,33.899,39.852,44.699,35.234,24.428,25.815,25.929,31.086,27.373,19.644,13.722,10.511,14.161,2021
Bhutan,"Inflation, average consumer prices",Index,,16.947,17.789,19.553,21.927,24.787,26.77,28.156,30.139,32.606,35.496,38.836,42.853,46.343,50.789,55.613,59.553,64.781,70.32,75.658,82.511,88.438,91.732,94.428,96.762,100,104.823,109.99,115.76,123.053,131.823,138.185,150.003,165.175,178.57,195.711,208.766,215.616,224.918,233.151,239.729,247.014,278.174,299.473,2021
Bhutan,Volume of imports of goods and services,Percent change,,21.258,21.614,6.003,2.658,5.228,-24.039,22.11,-4.87,-0.691,5.091,-34.132,0.32,-38.605,39.092,-32.71,1.457,9.964,15.277,30.857,8.568,-10.145,1.263,12.406,12.516,6.556,48.742,-14.183,9.603,19.997,-16.631,30.53,29.811,-15.618,-16.952,-6.25,1.125,-1.289,-3.396,-2.745,-3.761,-7.54,-19.068,18.061,2021
Bhutan,Volume of exports of goods and services,Percent change,,27.859,-31.697,-25.374,-3.527,-8.189,-5.414,23.394,23.854,46.446,3.068,-10.865,-6.37,-34.72,0.134,-17.883,8.732,18.539,-0.656,-4.299,-4.97,-7.774,-11.031,-2.979,1.644,34.421,31.007,35.333,67.032,9.33,-19.116,-0.029,17.122,-12.652,-15.21,-8.87,0.554,-12.944,8.15,6.876,-4.568,-3.488,-10.985,16.263,2021
Bhutan,Unemployment rate,Percent of total labor force,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.8,2.5,3.1,3.2,3.7,3.85,4,3.3,3.1,2.1,2.9,2.6,2.5,2.1,3.138,3.4,2.3,5,4.8,n/a,2020
Bhutan,Population,Persons,Millions,0.408,0.419,0.43,0.44,0.451,0.464,0.479,0.495,0.511,0.524,0.53,0.529,0.522,0.513,0.506,0.503,0.507,0.515,0.528,0.543,0.558,0.574,0.591,0.602,0.613,0.624,0.635,0.643,0.651,0.659,0.667,0.675,0.683,0.692,0.7,0.713,0.722,0.731,0.735,0.738,0.745,0.753,0.76,2021
Bhutan,General government revenue,National currency,Billions,n/a,0.575,0.498,0.676,0.79,0.97,1.122,1.447,1.772,1.62,1.469,1.749,1.993,2.881,3.123,3.65,4.491,4.656,4.95,6.919,7.859,8.382,8.848,7.054,10.445,10.501,13.452,16.083,18.317,23.443,30.991,28.172,32.646,30.656,37.819,36.231,42.039,42.673,52.113,42.033,54.604,59.696,52.86,2021
Bhutan,General government total expenditure,National currency,Billions,n/a,0.618,0.483,0.692,0.75,1.165,1.208,1.464,1.721,2.068,1.839,1.777,2.217,2.541,3.134,3.736,4.207,4.905,4.754,7.147,8.532,11.057,9.944,9.994,9.872,12.982,13.482,15.708,19.719,23.931,29.62,30.749,34.725,35.641,34.61,36.476,44.688,49.967,56.331,44.054,57.572,59.466,72.846,2021
Bhutan,General government net lending/borrowing,National currency,Billions,n/a,-0.044,0.016,-0.016,0.04,-0.195,-0.085,-0.017,0.051,-0.448,-0.37,-0.028,-0.223,0.34,-0.011,-0.086,0.284,-0.248,0.195,-0.228,-0.672,-2.675,-1.096,-2.939,0.573,-2.481,-0.03,0.375,-1.401,-0.488,1.371,-2.577,-2.079,-4.985,3.209,-0.245,-2.649,-7.293,-4.218,-2.021,-2.968,0.23,-19.986,2021
Bhutan,Current account balance,U.S. dollars,Billions,0.014,0.005,-0.071,-0.079,-0.094,-0.078,-0.093,-0.083,-0.057,-0.071,-0.028,-0.025,-0.07,-0.04,-0.034,0.045,0.045,0.018,0.039,0.009,-0.04,-0.039,-0.081,-0.138,-0.122,-0.235,-0.038,0.084,-0.111,-0.076,-0.319,-0.517,-0.388,-0.463,-0.483,-0.575,-0.621,-0.521,-0.462,-0.502,-0.382,-0.295,-0.663,2021
Bhutan,Current account balance,Percent of GDP,,11.757,3.641,-50.791,-52.058,-60.072,-48.069,-50.677,-37.417,-22.259,-27.936,-10.23,-10.46,-30.391,-16.524,-13.916,15.827,15.057,5.415,10.457,2.32,-9.385,-8.892,-16.794,-24.06,-18.727,-31.014,-4.668,8.431,-8.819,-6.418,-22.777,-30.485,-21.926,-25.632,-27.07,-29.098,-30.101,-22.708,-18.407,-20.487,-15.797,-12.096,-24.476,2021
Brunei Darussalam,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,n/a,n/a,n/a,n/a,n/a,"82,775.06","78,961.61","77,964.18","76,338.25","74,015.85","72,725.75","72,974.18","74,524.68","73,029.78","73,290.27","74,920.27","75,192.32","72,318.07","70,101.79","70,554.48","70,799.91","70,985.35","72,160.19","72,904.94","72,045.50","71,074.18","72,978.18","72,003.90","69,666.38","67,518.84","68,073.77","69,442.77","69,140.57","66,899.49","64,533.66","63,524.09","61,236.93","60,281.69","58,554.58","58,556.59","59,990.65","62,276.62","63,054.28",2021
Brunei Darussalam,Total investment,Percent of GDP,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40.173,48.571,43.362,42.358,28.174,22.903,13.713,33.977,24.887,22.005,17.289,14.446,18.911,20.099,26.307,23.69,26.024,32.882,39.593,27.442,35.247,34.62,34.805,41.067,38.678,40.588,31.273,29.995,2021
Brunei Darussalam,"Inflation, average consumer prices",Index,,n/a,67.905,67.905,68.697,70.825,72.335,73.623,74.541,75.431,76.414,78.049,79.297,80.312,83.727,85.789,90.907,92.722,94.309,93.893,93.502,94.959,95.525,93.314,93.594,94.356,95.53,95.683,96.609,98.623,99.644,100,100.138,100.25,100.64,100.432,99.941,99.663,98.406,99.415,99.027,100.948,102.698,105.266,2021
Brunei Darussalam,Volume of imports of goods and services,Percent change,,n/a,n/a,-33.059,1.909,-8.971,-23.503,12.548,-14.923,11.516,26.517,24.82,13.324,34.779,6.033,-6.888,28.081,17.287,-1.52,-22.984,-4.293,-1.535,-0.897,9.648,-3.404,5.905,4.963,8.837,18.283,29.581,-12.311,4.367,45.062,21.096,14.575,-23.858,-16.099,-11.258,1.371,30.766,12.642,-2.676,32.707,33.61,2021
Brunei Darussalam,Volume of exports of goods and services,Percent change,,n/a,n/a,4.989,-0.738,-2.406,-3.433,17.833,-17.834,11.576,-8.925,-8.22,33.25,1.534,4.163,0.247,24.228,-8.766,4.185,1.678,-4.847,-5.041,12.464,-1.898,1.649,-11.725,-13.901,1.433,-8.116,0.048,10.221,-11.011,5.83,3.911,-7.649,4.231,7.43,-7.265,-7.768,-6.626,20.14,28.74,-12.874,0.853,2021
Brunei Darussalam,Unemployment rate,Percent of total labor force,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.3,8.5,7.7,6.9,7.7,8.5,9.3,8.7,6.822,6.822,6.822,6.822,2020
Brunei Darussalam,Population,Persons,Millions,n/a,n/a,n/a,n/a,n/a,0.222,0.226,0.234,0.241,0.246,0.253,0.26,0.267,0.274,0.281,0.287,0.295,0.302,0.31,0.317,0.325,0.333,0.34,0.346,0.352,0.359,0.365,0.37,0.375,0.38,0.387,0.393,0.399,0.403,0.408,0.412,0.417,0.43,0.442,0.46,0.454,0.43,0.43,2021
Brunei Darussalam,General government revenue,National currency,Billions,6.266,8.455,7.872,7.753,7.345,7.533,3.332,2.75,2.486,2.526,2.706,2.686,2.325,2.274,2.246,2.451,2.859,2.843,1.916,2.536,5.084,4.232,4.268,4.93,6.151,7.921,9.647,6.636,14.31,6.65,8.184,12.896,11.134,10.551,8.159,4.294,2.783,4.385,5.228,4.187,2.892,3.975,6.17,2021
Brunei Darussalam,General government total expenditure,National currency,Billions,1.141,1.378,2.165,5.631,4.137,4.318,2.867,2.473,2.713,2.901,2.852,2.782,3.071,3.427,4.314,4.457,3.744,4.076,4.066,4.324,4.298,3.945,4.803,3.91,4.888,5.107,5.652,5.998,6.141,6.026,6.762,6.923,7.377,7.603,7.385,6.876,6.197,6.126,5.884,5.96,5.504,5.484,5.734,2021
Brunei Darussalam,General government net lending/borrowing,National currency,Billions,5.125,7.077,5.707,2.122,3.208,3.215,0.464,0.278,-0.228,-0.375,-0.145,-0.096,-0.745,-1.153,-2.067,-2.007,-0.884,-1.233,-2.15,-1.788,0.786,0.287,-0.535,1.02,1.263,2.814,3.995,0.638,8.168,0.624,1.423,5.973,3.757,2.949,0.775,-2.582,-3.414,-1.741,-0.656,-1.773,-2.612,-1.509,0.436,2021
Brunei Darussalam,Current account balance,U.S. dollars,Billions,n/a,2.711,2.758,2.525,2.922,3.158,1.993,2.265,2.246,2.153,2.355,2.466,1.81,1.225,1.588,1.154,1.354,1.212,0.752,1.545,2.998,1.951,1.756,2.484,2.882,4.033,5.229,4.828,6.939,3.977,5.016,6.43,5.684,3.778,5.251,2.157,1.47,1.984,0.937,0.895,0.514,0.644,2.074,2020
Brunei Darussalam,Current account balance,Percent of GDP,,n/a,n/a,n/a,n/a,n/a,65.872,61.019,58.952,61.354,52.805,48.207,47.285,32.997,22.087,26.661,16.263,18.933,17.346,14.149,26.935,45.089,31.441,27.116,34.188,33.042,38.183,41.145,35.579,43.508,33.445,36.596,34.711,29.838,20.881,30.709,16.679,12.894,16.362,6.907,6.644,4.279,4.599,11.23,2020
Cambodia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,973.046,"1,036.53","1,039.53","1,017.86","1,058.17","1,093.60","1,098.26","1,139.91","1,170.03","1,203.13","1,217.81","1,243.25","1,368.98","1,467.86","1,561.62","1,633.35","1,741.45","1,890.10","2,107.36","2,300.14","2,499.60","2,629.90","2,603.23","2,728.46","2,889.92","3,068.25","3,259.28","3,455.68","3,660.66","3,871.96","4,101.00","4,363.21","4,638.22","4,470.67","4,559.47","4,744.59",2019
Cambodia,Total investment,Percent of GDP,,n/a,n/a,n/a,n/a,n/a,n/a,9.282,13.537,7.874,8.089,8.949,8.998,11.557,11.253,11.939,14.552,14.72,15.02,11.834,16.984,17.529,18.735,20.021,22.069,17.826,20.235,22.517,21.197,18.617,21.36,17.368,17.098,18.511,20.009,22.095,22.453,22.706,22.892,23.448,24.233,25.452,25.5,25,2020
Cambodia,Gross national savings,Percent of GDP,,n/a,n/a,n/a,n/a,n/a,n/a,-41.532,0.449,0.6,1.355,5.338,7.745,10.548,9.356,11.226,9.857,7.677,16.328,6.335,12.163,14.902,17.766,17.754,18.51,15.656,16.411,21.871,19.546,11.996,11.444,8.616,9.067,9.888,11.547,13.538,13.714,14.227,14.983,11.678,9.219,16.791,-22.449,-6.315,2020
Cambodia,"Inflation, average consumer prices",Index,,n/a,n/a,n/a,n/a,n/a,n/a,1.379,0.948,1.166,1.911,4.62,13.444,23.526,50.421,55.685,61.297,65.678,72.576,81.937,83.573,82.883,82.786,82.756,83.606,86.887,92.404,98.08,105.601,131.999,131.124,136.365,143.838,148.056,152.415,158.288,160.211,165.073,169.87,174.049,177.432,182.645,187.981,197.777,2020
Cambodia,Volume of imports of goods and services,Percent change,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.38,9.567,50.806,34.147,8.044,16.44,12.623,5.132,6.068,5.2,10.719,-10.192,-8.188,11.207,5.471,15.436,11.067,18.445,14.791,21.57,13.697,6.716,13.679,17.973,-3.235,23.349,-12.177,2021
Cambodia,Volume of exports of goods and services,Percent change,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.395,97.167,-13.563,29.177,33.65,28.573,10.489,-4.433,31.23,21.43,12.879,10.959,2.026,4.262,31.695,24.45,12.717,22.746,15.17,15.03,13.163,9.898,14.682,13.838,-1.083,-7.096,9.632,2021
Cambodia,Population,Persons,Millions,n/a,n/a,n/a,n/a,n/a,n/a,7.99,8.228,8.467,8.724,9.009,9.324,9.659,10.007,10.43,10.769,11.091,11.396,11.685,11.96,12.223,12.473,12.709,12.934,13.149,13.356,13.555,13.747,13.941,14.096,14.251,14.406,14.561,14.716,14.871,15.026,15.181,15.336,15.491,15.6,15.678,15.835,15.993,2019
Cambodia,General government revenue,National currency,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,748.035,881.96,943.253,"1,338.10","1,440.56","1,561.18","1,761.75","1,775.76","2,208.83","3,077.02","3,814.76","5,302.00","6,666.83","6,724.84","8,049.01","8,278.78","9,723.68","11,498.78","13,538.42","14,409.68","16,913.33","19,386.75","23,599.11","29,461.49","25,334.52","24,268.81","26,784.45",2020
Cambodia,General government total expenditure,National currency,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,441.47","1,259.75","1,571.20","1,846.72","2,118.70","2,365.73","2,832.53","2,919.10","2,972.36","3,175.97","3,866.22","5,047.33","6,455.69","8,783.42","9,834.67","10,723.32","12,288.37","13,103.29","14,646.19","14,884.02","17,156.79","20,082.43","22,940.80","26,201.59","28,935.45","30,692.84","32,189.21",2020
Cambodia,General government net lending/borrowing,National currency,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-693.437,-377.794,-627.946,-508.617,-678.142,-804.55,"-1,070.77","-1,143.35",-763.529,-98.955,-51.452,254.668,211.141,"-2,058.58","-1,785.66","-2,444.54","-2,564.69","-1,604.51","-1,107.77",-474.341,-243.467,-695.678,658.308,"3,259.90","-3,600.93","-6,424.02","-5,404.76",2020
Cambodia,Current account balance,U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.025,-0.04,-0.095,-0.162,-0.247,0.045,-0.172,-0.169,-0.096,-0.039,-0.097,-0.166,-0.116,-0.24,-0.047,-0.143,-0.685,-1.03,-0.983,-1.029,-1.212,-1.289,-1.429,-1.58,-1.699,-1.756,-2.895,-4.067,-2.182,-12.617,-8.872,2021
Cambodia,Current account balance,Percent of GDP,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.009,-1.644,-3.436,-4.695,-7.043,1.307,-5.499,-4.821,-2.627,-0.97,-2.266,-3.56,-2.17,-3.824,-0.646,-1.652,-6.621,-9.916,-8.751,-8.031,-8.624,-8.462,-8.557,-8.739,-8.479,-7.909,-11.77,-15.015,-8.66,-47.949,-31.315,2020
China,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,673.541,698.221,749.217,819.221,931.543,"1,042.39","1,114.56","1,224.55","1,340.53","1,376.03","1,409.17","1,520.40","1,717.49","1,933.65","2,161.27","2,373.17","2,581.59","2,792.10","2,984.05","3,187.05","3,430.96","3,690.64","4,001.13","4,375.73","4,790.10","5,304.32","5,947.03","6,759.28","7,370.11","8,027.09","8,836.40","9,621.15","10,299.39","11,034.45","11,770.84","12,535.04","13,306.59","14,151.79","15,050.18","15,893.00","16,226.10","17,531.14","18,093.73",2020
China,Total investment,Percent of GDP,,34.964,33.044,31.903,31.855,34.324,39.025,37.676,37.249,39.001,37.056,33.984,35.25,39.15,43.401,40.238,39.022,37.685,35.657,34.98,34.287,33.735,35.694,36.27,39.7,41.973,40.273,39.881,40.421,42.425,45.469,46.968,47.029,46.186,46.136,45.612,43.033,42.655,43.172,43.961,43.068,42.857,42.582,44.768,2021
China,Gross national savings,Percent of GDP,,32.631,32.045,35.092,35.147,35.119,34.25,35.535,36.671,36.545,35.768,38.593,38.98,38.464,42.253,43.381,41.941,41.077,39.515,38.053,36.227,35.43,37,38.686,42.298,45.509,46.054,48.299,50.354,51.613,50.249,50.909,48.846,48.708,47.676,47.855,45.669,44.359,44.71,44.136,43.786,44.531,44.37,46.395,2021
China,"Inflation, average consumer prices",Index,,17.776,18.22,18.584,18.956,19.468,21.279,22.662,24.316,28.887,34.087,35.144,36.339,38.664,44.348,55.036,64.447,69.796,71.75,71.176,70.18,70.46,70.954,70.386,71.231,74.009,75.341,76.471,80.142,84.87,84.276,87.057,91.758,94.186,96.658,98.58,100,102.003,103.592,105.772,108.843,111.447,112.397,114.832,2021
China,Volume of imports of goods and services,Percent change,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.412,13.658,25.821,14.63,22.258,32.572,20.789,13.385,17.693,14.901,7.545,3.117,23.094,13.422,6.591,10.647,7.774,-0.438,4.387,7.291,7.263,-3.662,-0.406,9.969,-2.438,2020
China,Volume of exports of goods and services,Percent change,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.895,5.74,26.583,11.33,24.951,31.432,26.924,24.338,26.019,21.128,10.836,-10.56,28.461,10.964,5.882,8.76,4.295,-2.156,0.679,7.95,3.991,0.445,2.61,17.375,2.159,2020
China,Unemployment rate,Percent of total labor force,,4.9,3.8,3.2,2.3,1.9,1.8,2,2,2,2.6,2.5,2.3,2.3,2.6,2.8,2.9,3,3.1,3.1,3.1,3.1,3.6,4,4.3,4.2,4.2,4.1,4,4.2,4.3,4.14,4.09,4.09,4.05,4.09,4.05,4.02,3.9,3.8,3.62,4.24,3.96,4.2,2020
China,Population,Persons,Millions,987.05,"1,000.72","1,016.54","1,030.08","1,043.57","1,058.51","1,075.07","1,093.00","1,110.26","1,127.04","1,143.33","1,158.23","1,171.71","1,185.17","1,198.50","1,211.21","1,223.89","1,236.26","1,247.61","1,257.86","1,267.43","1,276.27","1,284.53","1,292.27","1,299.88","1,307.56","1,314.48","1,321.29","1,328.02","1,334.50","1,340.91","1,349.16","1,359.22","1,367.26","1,376.46","1,383.26","1,392.32","1,400.11","1,405.41","1,410.08","1,412.12","1,412.60","1,412.55",2020
China,General government revenue,National currency,Billions,n/a,n/a,131.948,148.955,171.476,213.34,228.572,240.72,261.933,305.012,331.738,343.139,367.061,449.482,521.81,624.22,740.799,865.114,987.595,"1,144.41","1,339.52","1,638.60","1,890.36","2,171.53","2,639.65","3,164.93","3,776.02","4,925.78","7,156.66","8,310.12","10,103.31","13,081.10","15,016.04","16,535.61","18,237.21","20,076.70","21,576.95","24,232.57","26,551.46","27,790.09","26,342.87","30,452.69","30,624.02",2020
China,General government total expenditure,National currency,Billions,n/a,n/a,130.761,149.013,170.968,204.914,232.16,249.266,276.599,320.774,345.374,366.095,400.306,481.337,603.633,682.372,793.755,923.356,"1,079.82","1,353.67","1,623.55","1,925.16","2,240.22","2,499.90","2,883.59","3,427.93","4,027.17","4,909.84","7,164.54","8,918.78","10,251.18","13,128.59","15,178.68","17,034.25","18,678.82","21,837.06","24,107.25","27,053.99","30,474.17","33,835.28","36,310.05","37,434.74","41,591.26",2020
China,General government net lending/borrowing,National currency,Billions,n/a,n/a,1.187,-0.058,0.508,8.426,-3.588,-8.545,-14.666,-15.762,-13.636,-22.956,-33.245,-31.855,-81.823,-58.152,-52.956,-58.242,-92.223,-209.259,-284.027,-286.554,-349.851,-328.37,-243.942,-262.999,-251.153,15.943,-7.88,-608.669,-147.87,-47.49,-162.637,-498.637,-441.608,"-1,760.36","-2,530.30","-2,821.42","-3,922.71","-6,045.18","-9,967.18","-6,982.05","-10,967.24",2020
China,General government structural balance,National currency,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-74.743,-68.849,-68.427,-80.725,-176.252,-225.639,-190.467,-226.682,-192.105,-83.518,-102.417,-145.3,-36.953,-103.378,-505.569,-360.017,-244.587,-191.616,-548.273,-458.85,"-1,553.34","-2,337.44","-2,659.10","-3,770.34","-5,706.83","-8,660.02","-6,435.51","-10,052.24",2020
China,Current account balance,U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,36.963,31.471,21.114,20.432,17.405,35.422,43.052,68.941,132.378,231.843,353.183,420.569,243.257,237.81,136.097,215.392,148.204,236.047,293.022,191.337,188.676,24.131,102.91,248.838,317.301,329.585,2021
